filename,label,meter,alt_meter
dataset/20241025104637.wav,four,4,8
dataset/20241025101756.wav,four,4,8
dataset/20241025102531.wav,four,4,8
dataset/20241025102313.wav,four,4,8
dataset/20241025101717.wav,four,4,8
dataset/20241025104714.wav,four,4,8
dataset/20241025103034.wav,four,4,8
dataset/20241025104352.wav,three,3,6
dataset/20241025101920.wav,three,3,6
dataset/20241025104512.wav,four,4,8
dataset/20241025095848.wav,four,4,8
dataset/20241025103511.wav,three,3,6
dataset/20241025104435.wav,three,3,6
dataset/20241025110438.wav,four,4,8
dataset/20241025101548.wav,three,3,6
dataset/20241025110312.wav,four,4,8
dataset/20241025105836.wav,four,4,8
dataset/20241025094844.wav,four,4,8
dataset/20241025092847.wav,four,4,8
dataset/20241025094826.wav,four,4,8
dataset/20241025095456.wav,four,4,8
dataset/20241025094929.wav,three,3,6
dataset/20241025095120.wav,four,4,8
dataset/20241025095634.wav,four,4,8
dataset/20241025105656.wav,four,4,8
dataset/20241025110032.wav,three,3,6
dataset/20241025095507.wav,four,4,8
dataset/20241025103811.wav,four,4,8
dataset/20241025095756.wav,four,4,8
dataset/20241025093530.wav,four,4,8
dataset/20241025110858.wav,four,4,8
dataset/20241025102300.wav,four,4,8
dataset/20241025102518.wav,three,3,6
dataset/20241025095829.wav,four,4,8
dataset/20241025095913.wav,three,3,6
dataset/20241025105156.wav,three,3,6
dataset/20241025105719.wav,three,3,6
dataset/20241025105230.wav,four,4,8
dataset/20241025104545.wav,four,4,8
dataset/20241025110756.wav,four,4,8
dataset/20241025104937.wav,four,4,8
dataset/20241025093129.wav,three,3,6
dataset/20241025095608.wav,four,4,8
dataset/20241025094513.wav,four,4,8
dataset/20241025100751.wav,four,4,8
dataset/20241025102045.wav,three,3,6
dataset/20241025104221.wav,three,3,6
dataset/20241025104531.wav,four,4,8
dataset/20241025100113.wav,four,4,8
dataset/20241025100742.wav,three,3,6
dataset/20241025104447.wav,four,4,8
dataset/20241025104019.wav,three,3,6
dataset/20241025095937.wav,four,4,8
dataset/20241025095019.wav,four,4,8
dataset/20241025100333.wav,four,4,8
dataset/20241025092806.wav,four,4,8
dataset/20241025093430.wav,three,3,6
dataset/20241025092957.wav,four,4,8
dataset/20241025102926.wav,four,4,8
dataset/20241025101737.wav,three,3,6
dataset/20241025102203.wav,three,3,6
dataset/20241025105933.wav,three,3,6
dataset/20241025094710.wav,four,4,8
dataset/20241025100204.wav,four,4,8
dataset/20241025093720.wav,three,3,6
dataset/20241025102747.wav,three,3,6
dataset/20241025103407.wav,four,4,8
dataset/20241025101655.wav,four,4,8
dataset/20241025111229.wav,three,3,6
dataset/20241025103756.wav,four,4,8
dataset/20241025110341.wav,four,4,8
dataset/20241025103204.wav,four,4,8
dataset/20241025104657.wav,four,4,8
dataset/20241025110403.wav,three,3,6
dataset/20241025101110.wav,four,4,8
dataset/20241025100914.wav,three,3,6
dataset/20241025100542.wav,four,4,8
dataset/20241025102428.wav,four,4,8
dataset/20241025095817.wav,four,4,8
dataset/20241025105802.wav,four,4,8
dataset/20241025094211.wav,four,4,8
dataset/20241025100504.wav,four,4,8
dataset/20241025103930.wav,four,4,8
dataset/20241025102331.wav,four,4,8
dataset/20241025100926.wav,three,3,6
dataset/20241025103953.wav,four,4,8
dataset/20241025102356.wav,four,4,8
dataset/20241025101540.wav,three,3,6
dataset/20241025100221.wav,four,4,8
dataset/20241025093035.wav,three,3,6
dataset/20241025094236.wav,four,4,8
dataset/20241025095523.wav,four,4,8
dataset/20241025105628.wav,four,4,8
dataset/20241025101138.wav,four,4,8
dataset/20241025092921.wav,four,4,8
dataset/20241025093809.wav,four,4,8
dataset/20241025095206.wav,four,4,8
dataset/20241025100555.wav,four,4,8
dataset/20241025094649.wav,four,4,8
dataset/20241025100032.wav,four,4,8
dataset/20241025101202.wav,four,4,8
dataset/20241025104206.wav,four,4,8
dataset/20241025110529.wav,four,4,8
dataset/20241025103836.wav,three,3,6
dataset/20241025101056.wav,three,3,6
dataset/20241025101009.wav,three,3,6
dataset/20241025094628.wav,four,4,8
dataset/20241025093846.wav,four,4,8
dataset/20241025094040.wav,four,4,8
dataset/20241025101411.wav,four,4,8
dataset/20241025093358.wav,four,4,8
dataset/20241025105752.wav,four,4,8
dataset/20241025110109.wav,four,4,8
dataset/20241025110746.wav,four,4,8
dataset/20241025103146.wav,four,4,8
dataset/20241025105528.wav,three,3,6
dataset/20241025105817.wav,four,4,8
dataset/20241025094909.wav,four,4,8
dataset/20241025111154.wav,four,4,8
dataset/20241025105514.wav,three,3,6
dataset/20241025102726.wav,four,4,8
dataset/20241025104619.wav,four,4,8
dataset/20241025103535.wav,three,3,6
dataset/20241025100847.wav,three,3,6
dataset/20241025105346.wav,four,4,8
dataset/20241025095320.wav,four,4,8
dataset/20241025111125.wav,four,4,8
dataset/20241025105441.wav,four,4,8
dataset/20241025094753.wav,four,4,8
dataset/20241025110812.wav,four,4,8
dataset/20241025110958.wav,four,4,8
dataset/20241025101527.wav,four,4,8
dataset/20241025111044.wav,four,4,8
dataset/20241025103320.wav,three,3,6
dataset/20241025102454.wav,four,4,8
dataset/20241025101840.wav,three,3,6
dataset/20241025110548.wav,four,4,8
dataset/20241025104753.wav,four,4,8
dataset/20241025102211.wav,four,4,8
dataset/20241025110713.wav,four,4,8
dataset/20241025095301.wav,three,3,6
dataset/20241025102847.wav,four,4,8
dataset/20241025095704.wav,four,4,8
dataset/20241025103350.wav,four,4,8
dataset/20241025103716.wav,four,4,8
dataset/20241025102553.wav,four,4,8
dataset/20241025093655.wav,four,4,8
dataset/20241025102947.wav,four,4,8
dataset/20241025105646.wav,three,3,6
dataset/20241025101517.wav,three,3,6
dataset/20241025102708.wav,four,4,8
dataset/20241025110630.wav,three,3,6
dataset/20241025104118.wav,four,4,8
dataset/20241025095357.wav,four,4,8
dataset/20241025103637.wav,four,4,8
dataset/20241025110148.wav,four,4,8
dataset/20241025110608.wav,four,4,8
dataset/20241025102015.wav,four,4,8
dataset/20241025101426.wav,four,4,8
dataset/20241025095048.wav,three,3,6
dataset/20241025095433.wav,four,4,8
dataset/20241025100452.wav,four,4,8
dataset/20241025105901.wav,three,3,6
dataset/20241025094119.wav,three,3,6
dataset/20241025102637.wav,three,3,6
dataset/20241025095225.wav,four,4,8
dataset/20241025095723.wav,three,3,6
dataset/20241025110136.wav,four,4,8
dataset/20241025100001.wav,four,4,8
dataset/20241025104232.wav,four,4,8
dataset/20241025100903.wav,three,3,6
dataset/20241025095646.wav,four,4,8
dataset/20241025105558.wav,three,3,6
dataset/20241025110931.wav,three,3,6
dataset/20241025093001.wav,four,4,8
dataset/20241025101017.wav,four,4,8
